Datetime,PondID,PondCode,Temp,Turb,DO,pH
2021-07-11 21:00:00,IoTpond1,6,25.3125,100.0,6.407,7.57569
2021-07-11 21:00:00,IoTPond9,5,24.8125,97.0,9.0055,7.40319
2021-07-11 21:00:00,IoTPond7,4,25.90625,32.0,5.366,6.89023
2021-07-11 21:00:00,IoTPond2,0,25.3125,100.0,6.407,7.57569
2021-07-11 21:00:00,IoTPond4,2,25.5,100.0,6.896,7.68009
2021-07-11 21:00:00,IoTPond6,3,24.5625,100.0,2.3200000000000003,7.76634
2021-07-11 21:00:00,IoTPond3,1,24.4375,96.0,5.08,7.31694
2021-07-11 22:00:00,IoTPond2,0,25.1875,100.0,4.9375,7.56888
2021-07-11 22:00:00,IoTPond6,3,24.5,100.0,2.0620000000000003,7.76407
2021-07-11 22:00:00,IoTPond9,5,24.6875,96.0,7.2895,7.40319
